seed,artifact,artifact_type,pyc_path,python_tag,magic_number,bytes
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__check_for_unavailable_sdk_alternate_9d7a7adb972d288e.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__check_for_unavailable_sdk_alternate_9d7a7adb972d288e.pyc,cpython-38,3413,1053
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__find_appropriate_compiler_882b6a26b1d10fa7.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__find_appropriate_compiler_882b6a26b1d10fa7.pyc,cpython-38,3413,1510
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__find_build_tool_f27ac5dd7ec32e24.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__find_build_tool_f27ac5dd7ec32e24.pyc,cpython-38,3413,528
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__find_executable_9f17a90942af15be.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__find_executable_9f17a90942af15be.pyc,cpython-38,3413,809
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__get_system_version_60dfd0f9ffb0907c.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__get_system_version_60dfd0f9ffb0907c.pyc,cpython-38,3413,504
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__override_all_archs_bb2dccc31c410084.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__override_all_archs_bb2dccc31c410084.pyc,cpython-38,3413,1112
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__read_output_ef37600f1c7c9c9a.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__read_output_ef37600f1c7c9c9a.pyc,cpython-38,3413,793
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__remove_original_values_14affa27f289ec36.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__remove_original_values_14affa27f289ec36.pyc,cpython-38,3413,656
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__remove_universal_flags_alternate_ae447be4492f6a56.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__remove_universal_flags_alternate_ae447be4492f6a56.pyc,cpython-38,3413,988
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__remove_universal_flags_e66a20a4c073333c.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__remove_universal_flags_e66a20a4c073333c.pyc,cpython-38,3413,980
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__remove_unsupported_archs_3c6f7f25480e537b.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__remove_unsupported_archs_3c6f7f25480e537b.pyc,cpython-38,3413,1380
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__save_modified_value_0fce2f40ace11d90.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__save_modified_value_0fce2f40ace11d90.pyc,cpython-38,3413,635
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__save_modified_value_unchanged_1fa98545ec8fbb75.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__save_modified_value_unchanged_1fa98545ec8fbb75.pyc,cpython-38,3413,585
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test__supports_universal_builds_3fc840c4e29db438.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test__supports_universal_builds_3fc840c4e29db438.pyc,cpython-38,3413,752
data/rq3/cpython-3.8/seeds/cpython_case_test__osx_support_Test_OSXSupport_test_get_platform_osx_2b351a6c6608cf94.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__osx_support_Test_OSXSupport_test_get_platform_osx_2b351a6c6608cf94.pyc,cpython-38,3413,656
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelIDTests_test_bad_id_04d129e9b28665a8.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelIDTests_test_bad_id_04d129e9b28665a8.pyc,cpython-38,3413,612
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelIDTests_test_bad_kwargs_458772b54f4a93b1.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelIDTests_test_bad_kwargs_458772b54f4a93b1.pyc,cpython-38,3413,502
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelIDTests_test_coerce_id_b21bfd9e66fd2741.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelIDTests_test_coerce_id_b21bfd9e66fd2741.pyc,cpython-38,3413,810
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelIDTests_test_default_kwargs_29ff2188a93e1fa2.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelIDTests_test_default_kwargs_29ff2188a93e1fa2.pyc,cpython-38,3413,517
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelIDTests_test_does_not_exist_25b85087b08df0e4.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelIDTests_test_does_not_exist_25b85087b08df0e4.pyc,cpython-38,3413,541
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelIDTests_test_equality_a36e4734ac2d6817.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelIDTests_test_equality_a36e4734ac2d6817.pyc,cpython-38,3413,846
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelIDTests_test_repr_c806279eca68d9f5.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelIDTests_test_repr_c806279eca68d9f5.pyc,cpython-38,3413,701
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelIDTests_test_str_e0f5b4e9e98a59b8.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelIDTests_test_str_e0f5b4e9e98a59b8.pyc,cpython-38,3413,483
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelIDTests_test_with_kwargs_e7b4600fbddd816a.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelIDTests_test_with_kwargs_e7b4600fbddd816a.pyc,cpython-38,3413,699
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_by_unassociated_interp_873c30dbe9523464.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_by_unassociated_interp_873c30dbe9523464.pyc,cpython-38,3413,844
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_close_if_unassociated_70b7ab1d536892bf.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_close_if_unassociated_70b7ab1d536892bf.pyc,cpython-38,3413,786
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_multiple_times_510866aee93c27aa.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_multiple_times_510866aee93c27aa.pyc,cpython-38,3413,632
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_multiple_users_296bc50ad1a7ba0e.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_multiple_users_296bc50ad1a7ba0e.pyc,cpython-38,3413,1023
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_never_used_515585c0c1a8c98a.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_never_used_515585c0c1a8c98a.pyc,cpython-38,3413,615
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_no_kwargs_d7eaca1c046c5324.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_no_kwargs_d7eaca1c046c5324.pyc,cpython-38,3413,649
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_partially_c137c1ba37b8fed8.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_partially_c137c1ba37b8fed8.pyc,cpython-38,3413,599
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_single_user_d51e750242d96644.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_single_user_d51e750242d96644.pyc,cpython-38,3413,672
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_used_multiple_times_by_single_user_33c4999f58df9ab1.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_used_multiple_times_by_single_user_33c4999f58df9ab1.pyc,cpython-38,3413,723
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_with_unused_items_fa36b2a865c665f7.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelReleaseTests_test_with_unused_items_fa36b2a865c665f7.pyc,cpython-38,3413,639
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_both_with_unused_items_forced_4a8d8fd1e7fe590e.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_both_with_unused_items_forced_4a8d8fd1e7fe590e.pyc,cpython-38,3413,706
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_both_with_unused_items_unforced_cab9df71ee32e846.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_both_with_unused_items_unforced_cab9df71ee32e846.pyc,cpython-38,3413,722
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_by_unassociated_interp_6480ca179ae69a05.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_by_unassociated_interp_6480ca179ae69a05.pyc,cpython-38,3413,822
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_defaults_with_unused_items_c6d9ff1fc3ab83d4.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_defaults_with_unused_items_c6d9ff1fc3ab83d4.pyc,cpython-38,3413,649
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_empty_91298f6bb1e83528.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_empty_91298f6bb1e83528.pyc,cpython-38,3413,762
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_multiple_times_5599994a806e7a38.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_multiple_times_5599994a806e7a38.pyc,cpython-38,3413,602
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_multiple_users_f805bdeea696c472.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_multiple_users_f805bdeea696c472.pyc,cpython-38,3413,1111
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_never_used_3402928d3a05cab3.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_never_used_3402928d3a05cab3.pyc,cpython-38,3413,612
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_recv_with_unused_items_forced_e60d505b946215b0.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_recv_with_unused_items_forced_e60d505b946215b0.pyc,cpython-38,3413,698
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_recv_with_unused_items_unforced_413ec82164009524.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_recv_with_unused_items_unforced_413ec82164009524.pyc,cpython-38,3413,707
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_send_with_unused_items_forced_098103d039eef4b1.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_send_with_unused_items_forced_098103d039eef4b1.pyc,cpython-38,3413,698
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_send_with_unused_items_unforced_3968ca26f1f34ae7.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_send_with_unused_items_unforced_3968ca26f1f34ae7.pyc,cpython-38,3413,715
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_single_user_bb396546df0b5647.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_single_user_bb396546df0b5647.pyc,cpython-38,3413,648
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_close_used_multiple_times_by_single_user_3228f8f053362b79.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_close_used_multiple_times_by_single_user_3228f8f053362b79.pyc,cpython-38,3413,713
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_create_cid_184e53c9f50a2107.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_create_cid_184e53c9f50a2107.pyc,cpython-38,3413,475
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_ids_global_345995e6764d2704.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_ids_global_345995e6764d2704.pyc,cpython-38,3413,729
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_recv_empty_9c3cfea71b1fad7d.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_recv_empty_9c3cfea71b1fad7d.pyc,cpython-38,3413,515
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_recv_not_found_d7c3ea9cfa2ed73e.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_recv_not_found_d7c3ea9cfa2ed73e.pyc,cpython-38,3413,496
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_run_string_arg_resolved_55c299d3b16b162b.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_run_string_arg_resolved_55c299d3b16b162b.pyc,cpython-38,3413,838
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_run_string_arg_unresolved_fffd408002970f28.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_run_string_arg_unresolved_fffd408002970f28.pyc,cpython-38,3413,789
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_send_not_found_8cd6239446fdb134.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_send_not_found_8cd6239446fdb134.pyc,cpython-38,3413,507
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_send_recv_different_interpreters_46c3aedff7efd2f7.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_send_recv_different_interpreters_46c3aedff7efd2f7.pyc,cpython-38,3413,714
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_send_recv_different_interpreters_and_threads_264b86218c78574f.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_send_recv_different_interpreters_and_threads_264b86218c78574f.pyc,cpython-38,3413,1297
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_send_recv_different_threads_442278fcdc616d72.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_send_recv_different_threads_442278fcdc616d72.pyc,cpython-38,3413,873
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_send_recv_main_bbe783efefb8d6f2.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_send_recv_main_bbe783efefb8d6f2.pyc,cpython-38,3413,568
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_send_recv_same_interpreter_46bcabfa1302616a.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_send_recv_same_interpreter_46bcabfa1302616a.pyc,cpython-38,3413,795
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_ChannelTests_test_sequential_ids_a9f7b40d8a1ad85d.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_ChannelTests_test_sequential_ids_a9f7b40d8a1ad85d.pyc,cpython-38,3413,621
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_CreateTests_test_after_destroy_all_c474bff3d82fa513.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_CreateTests_test_after_destroy_all_c474bff3d82fa513.pyc,cpython-38,3413,610
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_CreateTests_test_after_destroy_some_3793d4b7d93fb655.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_CreateTests_test_after_destroy_some_3793d4b7d93fb655.pyc,cpython-38,3413,586
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_CreateTests_test_in_main_1e71e5faef7a3da4.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_CreateTests_test_in_main_1e71e5faef7a3da4.pyc,cpython-38,3413,504
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_CreateTests_test_in_subinterpreter_c1b3a5b0a14331b2.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_CreateTests_test_in_subinterpreter_c1b3a5b0a14331b2.pyc,cpython-38,3413,770
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_CreateTests_test_in_thread_3dfaaa8b13fa5766.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_CreateTests_test_in_thread_3dfaaa8b13fa5766.pyc,cpython-38,3413,743
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_CreateTests_test_in_threaded_subinterpreter_92d50e7b4c08974c.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_CreateTests_test_in_threaded_subinterpreter_92d50e7b4c08974c.pyc,cpython-38,3413,932
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_CreateTests_test_unique_id_c7f496b0d7408d81.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_CreateTests_test_unique_id_c7f496b0d7408d81.pyc,cpython-38,3413,543
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_DestroyTests_test_all_c4489afa34ff8267.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_DestroyTests_test_all_c4489afa34ff8267.pyc,cpython-38,3413,606
data/rq3/cpython-3.8/seeds/cpython_case_test__xxsubinterpreters_DestroyTests_test_already_destroyed_1a44cdb90ee90f85.pyc,cpython_unittest:data/rq3/cpython-3.8/unittest_seeds/raw,cpython_unittest_seed,cpython_case_test__xxsubinterpreters_DestroyTests_test_already_destroyed_1a44cdb90ee90f85.pyc,cpython-38,3413,513
