unique_bug_id,python_tag,findings,message_class,abort_message,signature,example
cpython-311-cb5782851995,cpython-311,1,class_b_corruption_explicit,corrupted double-linked list,"SIGABRT, Aborted:pthread_kill|??|??|??|??|??|free|_PyMem_RawFree|PyObject_Free|PyDict_Clear|_PyUnicode_ClearInterned|finalize_interp_types|finalize_interp_clear|Py_FinalizeEx|Py_RunMain|pymain_main","data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.5953f155eb62.STACK.1870693832.CODE.128.ADDR.0.INSTR.mov____0xa8(%rax),%r15.pyc"
cpython-311-eb5098221d22,cpython-311,12,class_b_corruption_explicit,corrupted size vs. prev_size,"SIGABRT, Aborted:pthread_kill|??|??|??|??|free|_PyMem_RawFree|PyObject_Free|PyObject_GC_Del|set_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|_PyFrame_Clear|gen_send_ex2|gen_iternext","data/rq3/cpython-3.11/fuzz/crashes/SIGABRT.PC.7038320909fc.STACK.e4b0bb1be.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-311-f2a6601a913d,cpython-311,4,class_b_corruption_explicit,double free or corruption (!prev),"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|object_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|code_dealloc|_Py_Dealloc|Py_DECREF|func_dealloc|_Py_Dealloc","data/rq3/cpython-3.11/fuzz/crashes/SIGABRT.PC.76c772a299fc.STACK.f5756095e.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-312-0e82a511c4a2,cpython-312,1,manual_allocator_unaligned_chunk,malloc(): unaligned tcache chunk detected,"SIGABRT, Aborted:pthread_kill|??|??|malloc|_PyMem_RawMalloc|PyObject_Malloc|gc_alloc|_PyObject_GC_New|tb_create_raw|_PyTraceBack_FromFrame|PyTraceBack_Here|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj","data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.747c458e19fc.STACK.193459d328.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-312-191e2a349ee3,cpython-312,3,class_b_corruption_explicit,double free or corruption (!prev),"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|object_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|code_dealloc|_Py_Dealloc|Py_DECREF|func_dealloc|_Py_Dealloc","data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.7f8ea4aa99fc.STACK.e8338ae9b.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-312-2968a13eea15,cpython-312,1,class_b_corruption_explicit,realloc(): invalid next size,"SIGABRT, Aborted:pthread_kill|??|??|??|realloc|_PyMem_RawRealloc|PyObject_Realloc|resize_compact|_PyUnicodeWriter_Finish|%U\n"", vargs=0x7fff9b892870)|%U\n"")|tb_displayline|tb_printinternal|_PyTraceBack_Print_Indented|print_exception_traceback|print_exception","data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.73b12297b9fc.STACK.1b4f346af2.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-312-2d463551f6bc,cpython-312,38,class_b_corruption_explicit,realloc(): invalid pointer,"SIGABRT, Aborted:pthread_kill|??|??|realloc|_PyMem_RawRealloc|PyObject_Realloc|resize_compact|_PyUnicodeWriter_Finish|PyUnicode_FromFormatV|_PyErr_FormatV|PyErr_Format|_PyNumber_Index|PyLong_AsLongAndOverflow|_PyLong_AsInt|_io_FileIO___init___impl|_io_FileIO___init__","data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.71df7fc309fc.STACK.19bf3e07d4.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-312-6c0bf0fbec82,cpython-312,2,class_b_corruption_explicit,corrupted size vs. prev_size,"SIGABRT, Aborted:pthread_kill|??|??|??|??|free|_PyMem_RawFree|PyObject_Free|code_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|tupledealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF","data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.7766442c89fc.STACK.c720497b9.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-312-6e3193687da1,cpython-312,4,class_b_corruption_explicit,free(): invalid pointer,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|long_dealloc|_Py_Dealloc|Py_DECREF|delitem_common|_PyDict_DelItem_KnownHash|PyDict_DelItem|remove_subclass|remove_all_subclasses|type_dealloc_common","data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.7140d8bd79fc.STACK.19bff3e507.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-312-96d3c466438f,cpython-312,1,manual_allocator_unaligned_chunk,malloc_consolidate(): unaligned fastbin chunk detected,"SIGABRT, Aborted:pthread_kill|??|??|??|??|free|_PyMem_RawFree|PyMem_RawFree|_Py_hashtable_destroy|clear_global_interned_strings|_PyUnicode_ClearInterned|finalize_interp_types|finalize_interp_clear|Py_FinalizeEx|Py_RunMain|pymain_main","data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.74c1eaa0b9fc.STACK.f49661632.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-312-a557d123e56f,cpython-312,5,class_b_corruption_explicit,free(): invalid pointer,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyMem_Free|code_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|free_keys_object|dictkeys_decref|dict_dealloc|_Py_Dealloc|Py_DECREF","data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.72230a5e49fc.STACK.18a3ae5de7.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-312-b4f85b6cca98,cpython-312,1,class_b_corruption_explicit,free(): invalid size,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|unicode_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|free_keys_object|dictkeys_decref|PyDict_Clear|type_clear|delete_garbage","data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.72edae6779fc.STACK.19bfe3fc76.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-312-eb581a73e180,cpython-312,1,class_b_corruption_explicit,malloc(): invalid size (unsorted),"SIGABRT, Aborted:pthread_kill|??|??|??|malloc|_PyMem_RawMalloc|PyObject_Malloc|gc_alloc|_PyObject_GC_NewVar|tuple_alloc|_PyTuple_FromArraySteal|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall|_PyObject_FastCallDictTstate","data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.773eaabd09fc.STACK.df5aaf1f7.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-312-f07027baee13,cpython-312,1,class_b_corruption_explicit,malloc(): invalid size (unsorted),"SIGABRT, Aborted:pthread_kill|??|??|??|??|realloc|_PyMem_RawRealloc|PyMem_Realloc|list_resize|_PyList_AppendTakeRefListResize|_PyList_AppendTakeRef|PyList_Append|r_ref|r_object|r_object|read_object","data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.7320458a59fc.STACK.f8da73690.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-312-f19faa9c04a1,cpython-312,1,class_b_corruption_explicit,corrupted size vs. prev_size,"SIGABRT, Aborted:pthread_kill|??|??|??|??|free|_PyMem_RawFree|PyObject_Free|code_dealloc|_Py_Dealloc|Py_DECREF|func_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|free_keys_object","data/rq3/cpython-3.12/fuzz/crashes/SIGABRT.PC.760dd40e69fc.STACK.1bc3d23e96.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-313-080cabb04450,cpython-313,1,class_b_corruption_explicit,munmap_chunk(): invalid pointer,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|object_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|list_dealloc|_Py_Dealloc|Py_DECREF|marshal_loads_impl|marshal_loads","data/rq3/cpython-3.13/fuzz/crashes/SIGABRT.PC.7048ddb749fc.STACK.f78fb5c47.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-313-0b677fda01d1,cpython-313,6,manual_no_abort_message_captured,,"SIGABRT, Aborted:pthread_kill|??|??|??|??|??|free|_PyMem_RawFree|PyMem_Free|clear_lock_held|PyDict_Clear|clear_interned_dict|_PyUnicode_ClearInterned|finalize_interp_types|finalize_interp_clear|_Py_Finalize","data/rq3/cpython-3.13/fuzz/crashes/SIGSEGV.PC.5a1d682ddae8.STACK.cd27ce450.CODE.128.ADDR.0.INSTR.mov____0xa8(%rax),%r14.pyc"
cpython-313-29976b5b14f7,cpython-313,1,manual_glibc_malloc_assertion,python: malloc.c:4302: _int_malloc: Assertion `(unsigned long) (size) >= (unsigned long) (nb)' failed.,"SIGABRT, Aborted:pthread_kill|??|??|malloc|_PyMem_RawMalloc|PyMem_Malloc|_Py_hashtable_set|w_ref|w_object|w_complex_object|w_object|w_complex_object|w_object|w_complex_object|w_object|w_complex_object","data/rq3/cpython-3.13/fuzz/crashes/SIGABRT.PC.7eeb1f5139fc.STACK.db73cfd37.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-313-506350080023,cpython-313,1,manual_allocator_unaligned_chunk,malloc(): unaligned tcache chunk detected,"SIGABRT, Aborted:pthread_kill|??|??|malloc|_PyMem_RawMalloc|PyObject_Malloc|_PyBytes_FromSize|PyBytes_FromStringAndSize|r_object|r_object|r_object|r_object|r_object|r_object|read_object|marshal_loads_impl","data/rq3/cpython-3.13/fuzz/crashes/SIGSEGV.PC.5fddd3dcb7bf.STACK.db51acc73.CODE.1.ADDR.71.INSTR.mov____0x30(%rax),%r15.pyc"
cpython-313-577dadd26a2c,cpython-313,1,manual_allocator_unaligned_chunk,malloc(): unaligned tcache chunk detected,"SIGABRT, Aborted:pthread_kill|??|??|malloc|_PyMem_RawMalloc|PyObject_Malloc|_PyObject_NewVar|_PyCode_New|r_object|r_object|r_object|r_object|r_object|r_object|r_object|read_object","data/rq3/cpython-3.13/fuzz/crashes/SIGSEGV.PC.5b29625497ef.STACK.18721e7142.CODE.128.ADDR.0.INSTR.mov____0xa8(%r15),%r12.pyc"
cpython-313-5e7737d50e37,cpython-313,6,class_b_corruption_explicit,realloc(): invalid old size,"SIGABRT, Aborted:pthread_kill|??|??|??|realloc|_PyMem_RawRealloc|PyMem_Realloc|list_resize|_PyList_AppendTakeRefListResize|_PyList_AppendTakeRef|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod","data/rq3/cpython-3.13/fuzz/crashes/SIGABRT.PC.7077490549fc.STACK.d70448624.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-313-5ea7b9bceeb5,cpython-313,5,class_b_corruption_explicit,corrupted size vs. prev_size,"SIGABRT, Aborted:pthread_kill|??|??|??|??|??|malloc|_PyMem_RawMalloc|PyMem_Malloc|new_keys_object|dictresize|insertion_resize|insert_combined_dict|insertdict|setitem_take2_lock_held|_PyDict_SetItem_Take2","data/rq3/cpython-3.13/fuzz/crashes/SIGSEGV.PC.58a5a24cff80.STACK.c3b34585f.CODE.128.ADDR.0.INSTR.mov____(%r14),%r12.pyc"
cpython-313-76def08b72cb,cpython-313,1,manual_glibc_malloc_assertion,python: malloc.c:2617: sysmalloc: Assertion `(old_top == initial_top (av) && old_size == 0) || ((unsigned long) (old_size) >= MINSIZE && prev_inuse (old_top) && ((unsigned long) old_end & (pagesize - 1)) == 0)' failed.,"SIGABRT, Aborted:pthread_kill|??|??|??|??|realloc|_PyMem_RawRealloc|PyObject_Realloc|_PyBytes_Resize|w_reserve|w_string|w_pstring|w_complex_object|w_object|w_complex_object|w_object","data/rq3/cpython-3.13/fuzz/crashes/SIGABRT.PC.7d7b6da2e9fc.STACK.f4760f1ae.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-313-a5c32e005e21,cpython-313,1,class_b_corruption_explicit,corrupted size vs. prev_size,"SIGABRT, Aborted:pthread_kill|??|??|??|??|??|realloc|_PyMem_RawRealloc|PyMem_Realloc|list_resize|_PyList_AppendTakeRefListResize|_PyList_AppendTakeRef|PyList_Append|r_ref|r_object|r_object","data/rq3/cpython-3.13/fuzz/crashes/SIGABRT.PC.772ede1f09fc.STACK.19fa320adc.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-313-a96cd9e9fb7b,cpython-313,1,class_b_corruption_explicit,double free or corruption (out),"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|PyObject_GC_Del|tupleiter_dealloc|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall|_PyObject_VectorcallTstate|object_vacall|PyObject_CallMethodObjArgs","data/rq3/cpython-3.13/fuzz/crashes/SIGSEGV.PC.58a4cb2f63dd.STACK.cfbca7a25.CODE.1.ADDR.0.INSTR.mov____%rbx,(%rax).pyc"
cpython-313-b000b9a2542b,cpython-313,1,class_b_corruption_explicit,double free or corruption (!prev),"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|PyObject_GC_Del|frame_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|tb_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF","data/rq3/cpython-3.13/fuzz/crashes/SIGSEGV.PC.7989acd77840.STACK.1a52cf9f69.CODE.1.ADDR.61a7400757c0.INSTR.testb__$0x1,0x8(%r14,%r10,1).pyc"
cpython-313-bd96ca60a291,cpython-313,1,manual_allocator_unaligned_chunk,malloc(): unaligned tcache chunk detected,"SIGABRT, Aborted:pthread_kill|??|??|malloc|_PyMem_RawRealloc|PyMem_Realloc|list_resize|_PyList_AppendTakeRefListResize|_PyList_AppendTakeRef|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall|_PyObject_VectorcallTstate|method_vectorcall|_PyObject_VectorcallTstate","data/rq3/cpython-3.13/fuzz/crashes/SIGSEGV.PC.61cc6bb70e6d.STACK.1b972f6891.CODE.128.ADDR.0.INSTR.mov____(%r14),%rbx.pyc"
cpython-313-c054e317548d,cpython-313,11,class_b_corruption_explicit,free(): invalid pointer,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|object_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|code_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|dictkeys_decref","data/rq3/cpython-3.13/fuzz/crashes/SIGABRT.PC.705bd26199fc.STACK.e4a9ebc85.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-313-e354e216505e,cpython-313,5,manual_no_abort_message_captured,,"SIGABRT, Aborted:pthread_kill|??|??|??|??|??|malloc|_PyMem_RawMalloc|PyMem_Malloc|block_new|_PyArena_New|_PyRun_StringFlagsWithName|PyRun_StringFlags|builtin_eval_impl|builtin_eval|_PyEval_EvalFrameDefault","data/rq3/cpython-3.13/fuzz/crashes/SIGABRT.PC.7729a7aff9fc.STACK.f56c30465.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-313-e3ab86eba907,cpython-313,3,class_b_corruption_explicit,corrupted size vs. prev_size,"SIGABRT, Aborted:pthread_kill|??|??|??|??|free|_PyMem_RawFree|PyObject_Free|code_dealloc|_Py_Dealloc|Py_DECREF|func_dealloc|_Py_Dealloc|Py_DECREF|delete_garbage|gc_collect_main","data/rq3/cpython-3.13/fuzz/crashes/SIGABRT.PC.77b368f359fc.STACK.c720497b9.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-313-e443acdd062c,cpython-313,11,manual_allocator_unaligned_chunk,malloc(): unaligned tcache chunk detected,"SIGABRT, Aborted:pthread_kill|??|??|malloc|_PyMem_RawMalloc|PyObject_Malloc|_PyObject_MallocWithType|_PyType_AllocNoTrack|PyType_GenericAlloc|BaseException_new|type_call|_PyObject_Call|PyObject_Call|_PyErr_CreateException|_PyErr_SetObject|_PyErr_SetKeyError","data/rq3/cpython-3.13/fuzz/crashes/SIGABRT.PC.7317f2d5b9fc.STACK.1b8576628f.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-313-fea3ac5def63,cpython-313,24,class_b_corruption_explicit,free(): invalid pointer,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|lineiter_dealloc|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|gen_send_ex2|gen_iternext|PyIter_Next|merge_from_seq2_lock_held|PyDict_MergeFromSeq2|dict_update_arg","data/rq3/cpython-3.13/fuzz/crashes/SIGABRT.PC.70ea559e59fc.STACK.e4a535e56.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-314-092032c9f8c9,cpython-314,1,class_b_corruption_explicit,corrupted size vs. prev_size,"SIGABRT, Aborted:pthread_kill|??|??|??|??|??|malloc|_PyMem_RawMalloc|PyMem_Malloc|clone_combined_dict_keys|copy_lock_held|PyDict_Copy|finalize_restore_builtins|finalize_modules|_Py_Finalize|Py_FinalizeEx","data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.73d8fd6199fc.STACK.e448dac14.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-314-6656c213349e,cpython-314,1,class_b_corruption_explicit,free(): invalid next size (fast),"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|PyObject_GC_Del|weakref_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|tuple_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF","data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.7c8eb33e49fc.STACK.c313ca348.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-314-9b5a84390886,cpython-314,2,manual_allocator_unaligned_chunk,malloc(): unaligned tcache chunk detected,"SIGABRT, Aborted:pthread_kill|??|??|malloc|_PyMem_RawMalloc|PyMem_Malloc|PyType_FromMetaclass|PyType_FromModuleAndSpec|_functools_exec|PyModule_ExecDef|exec_builtin_or_dynamic|_imp_exec_builtin_impl|_imp_exec_builtin|cfunction_vectorcall_O|_PyVectorcall_Call|_PyObject_Call","data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.7644964de9fc.STACK.18bf63e665.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-314-a5054adec2db,cpython-314,1,manual_glibc_malloc_assertion,python: malloc.c:4302: _int_malloc: Assertion `(unsigned long) (size) >= (unsigned long) (nb)' failed.,"SIGABRT, Aborted:pthread_kill|??|??|malloc|_PyMem_RawMalloc|PyMem_Malloc|_Py_hashtable_set|w_ref|w_object|w_complex_object|w_object|w_complex_object|w_object|w_complex_object|w_object|_PyMarshal_WriteObjectToString","data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.7ef4ec5959fc.STACK.19f4b372cd.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-314-dae309de59f7,cpython-314,1,class_b_corruption_explicit,free(): invalid pointer,"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|PyObject_GC_Del|func_dealloc|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault","data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.7a31a2ff79fc.STACK.c31f1419b.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-314-dbbc92b81578,cpython-314,1,manual_allocator_unaligned_chunk,malloc(): unaligned tcache chunk detected,"SIGABRT, Aborted:pthread_kill|??|??|malloc|??|??|_dl_catch_exception|??|_dl_catch_exception|??|??|_dl_catch_exception|_dl_catch_error|??|dlopen|_PyImport_FindSharedFuncptr","data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.785ef201e9fc.STACK.19b3a76c03.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-314-e5ac43c8e32c,cpython-314,1,class_b_corruption_explicit,double free or corruption (!prev),"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|object_dealloc|_Py_Dealloc|Py_DECREF|Py_XDECREF|code_dealloc|_Py_Dealloc|Py_DECREF|func_dealloc|_Py_Dealloc","data/rq3/cpython-3.14/fuzz/crashes/SIGABRT.PC.79b5720ac9fc.STACK.c720497b9.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-38-6b5e51e4cff1,cpython-38,2,class_b_corruption_explicit,double free or corruption (out),"SIGABRT, Aborted:pthread_kill|??|??|??|free|_PyMem_RawFree|PyObject_Free|PyObject_GC_Del|func_dealloc|_Py_Dealloc|_Py_DECREF|_Py_XDECREF|free_keys_object|dictkeys_decref|PyDict_Clear|dict_tp_clear","data/rq3/cpython-3.8/fuzz/crashes/SIGABRT.PC.759bdb8159fc.STACK.1a07605f71.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
cpython-39-05c7afdebcba,cpython-39,1,class_b_corruption_explicit,malloc(): corrupted top size,"SIGABRT, Aborted:pthread_kill|??|??|??|malloc|_PyMem_RawMalloc|PyMem_Malloc|block_new|PyArena_New|PyRun_StringFlags|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL|call_function|_PyEval_EvalFrameDefault|_PyEval_EvalFrame","data/rq3/cpython-3.9/fuzz/crashes/SIGABRT.PC.7a9d9d36e9fc.STACK.df5292e33.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc"
