unique_bug_id,python_tag,status,signal,stack_source,signature,findings,example,artifact_path
cpython-311-1cf745f3ddfb,cpython-311,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|fatal_error_exit|fatal_error|_Py_FatalErrorFunc|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|gen_send_ex2|PyGen_am_send|PyIter_Send|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|gen_send_ex2|gen_iternext|builtin_next|cfunction_vectorcall_FASTCALL|_PyObject_VectorcallTstate",1,"data/rq3/cpython-3.11/fuzz/crashes/SIGABRT.PC.702c7cf3e9fc.STACK.cbc038cbb.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-1cf745f3ddfb.pyc
cpython-311-201b75984cf2,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_Hash|tuplehash|PyObject_Hash|tuplehash|PyObject_Hash|_PyDict_LoadGlobal|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj",1,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.56f6965849ea.STACK.c3e006746.CODE.1.ADDR.8.INSTR.mov____0x8(%r14),%r15.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-201b75984cf2.pyc
cpython-311-20f318ca057b,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_GetIter|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod",3,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.59621cce1ddb.STACK.dc2011a9c.CODE.1.ADDR.200000007.INSTR.mov____0x8(%r14),%r15.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-20f318ca057b.pyc
cpython-311-2350c53c731c,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:Py_XDECREF|tupledealloc|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python|Py_RunMain|pymain_main",6,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.581029f65933.STACK.18b245354f.CODE.1.ADDR.ffffffff.INSTR.mov____0x0(%r13),%r14.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-2350c53c731c.pyc
cpython-311-27abee334929,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:binary_op1|binary_op|PyNumber_Subtract|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode",17,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.55fa44ffd79c.STACK.180b7094a3.CODE.1.ADDR.26b06da0bc6.INSTR.cmpq___$0x0,0x60(%r15).pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-27abee334929.pyc
cpython-311-27eb285f1285,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_IsTrue|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python|Py_RunMain|pymain_main|Py_BytesMain",25,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.58fad4f52536.STACK.1839476423.CODE.1.ADDR.10.INSTR.mov____0x10(%r15),%r14.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-27eb285f1285.pyc
cpython-311-2892d05adfc4,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:binary_op1|PyNumber_Add|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|builtin___build_class__|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file",1,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.568f58f73fb6.STACK.19d1f59b59.CODE.128.ADDR.0.INSTR.cmpq___$0x0,0x60(%rbx).pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-2892d05adfc4.pyc
cpython-311-2a17edfc4954,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:visit_decref|tupletraverse|subtract_refs|deduce_unreachable|gc_collect_main|gc_collect_with_callback|gc_collect_generations|_PyObject_GC_Link|gc_alloc|_PyObject_GC_NewVar|tuple_alloc|_PyTuple_FromArray|_PyObject_MakeTpCall|type_vectorcall|_PyObject_VectorcallTstate|_PyObject_CallFunctionVa",1,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.625f05d9031b.STACK.1a483a9378.CODE.1.ADDR.100000007.INSTR.mov____0x8(%r14),%r15.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-2a17edfc4954.pyc
cpython-311-2a1e022b8f5b,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:??|??|malloc|_PyMem_RawMalloc|PyMem_Malloc|_buffered_init|_io_BufferedReader___init___impl|_io_BufferedReader___init__|type_call|_PyObject_MakeTpCall|_PyObject_VectorcallTstate|_PyObject_CallFunctionVa|_PyObject_CallFunction_SizeT|_io_open_impl|_io_open|cfunction_vectorcall_FASTCALL_KEYWORDS",2,"data/rq3/cpython-3.11/fuzz/crashes/SIGABRT.PC.7168534c29fc.STACK.1b771acffd.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-2a1e022b8f5b.pyc
cpython-311-2bde86f7f959,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:list_extend|_PyList_Extend|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python|Py_RunMain|pymain_main",3,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.5d41a3608164.STACK.cb639c0cf.CODE.1.ADDR.8.INSTR.mov____0x8(%rbx),%rax.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-2bde86f7f959.pyc
cpython-311-2de9f8a450f8,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_SetAttr|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python|Py_RunMain|pymain_main|Py_BytesMain",36,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.56445fffd59c.STACK.18bf5c6743.CODE.1.ADDR.8.INSTR.mov____0x8(%rbx),%rax.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-2de9f8a450f8.pyc
cpython-311-2e423e9e1359,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyIter_Send|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python|Py_RunMain|pymain_main|Py_BytesMain",6,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.57cbcfc0cbd7.STACK.187e9a66e7.CODE.1.ADDR.8.INSTR.mov____0x8(%r13),%r12.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-2e423e9e1359.pyc
cpython-311-2f5aa1bc4e0c,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_Repr|unicode_fromformat_arg|PyUnicode_FromFormatV|_PyErr_FormatV|_PyErr_Format|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|_PyFunction_Vectorcall|_PyObject_VectorcallTstate|vectorcall_unbound|vectorcall_method|slot_tp_setattro|PyObject_SetAttr|_PyEval_EvalFrameDefault|_PyEval_EvalFrame",1,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.55b575d02efb.STACK.c2584365e.CODE.128.ADDR.0.INSTR.mov____0x8(%r15),%rbx.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-2f5aa1bc4e0c.pyc
cpython-311-3041ae97dcb2,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PySequence_Contains|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod",2,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.5b56cd421062.STACK.1955fe5403.CODE.1.ADDR.200000007.INSTR.mov____0x8(%r15),%r14.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-3041ae97dcb2.pyc
cpython-311-3264726321f9,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyNumber_Negative|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod",1,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.5eabfb2cec0f.STACK.1948a111ce.CODE.1.ADDR.200000007.INSTR.mov____0x8(%rbx),%r15.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-3264726321f9.pyc
cpython-311-36b3d4d99e62,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyTraceBack_FromFrame|PyTraceBack_Here|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj",1,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.62b52fc1ca7a.STACK.190ae30c1f.CODE.1.ADDR.38.INSTR.mov____0x38(%rax),%ebx.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-36b3d4d99e62.pyc
cpython-311-391d5ea40c55,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_Repr|unicode_fromformat_arg|PyUnicode_FromFormatV|_PyErr_FormatV|_PyErr_Format|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file",23,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.56167848eefb.STACK.e16824515.CODE.128.ADDR.0.INSTR.mov____0x8(%r15),%rbx.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-391d5ea40c55.pyc
cpython-311-39a562d100eb,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyObject_IS_GC|visit_decref|dict_traverse|subtract_refs|deduce_unreachable|gc_collect_main|gc_collect_with_callback|PyGC_Collect|Py_FinalizeEx|Py_RunMain|pymain_main|Py_BytesMain|main",5,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.5b59554a631f.STACK.e1b61ae42.CODE.1.ADDR.a7.INSTR.mov____0xa8(%r15),%r12.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-39a562d100eb.pyc
cpython-311-3addb7f7df89,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyType_IsSubtype|do_richcompare|PyObject_RichCompare|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode",15,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.55dd9f528610.STACK.199495cc83.CODE.1.ADDR.a60065015a.INSTR.mov____0x158(%rbx),%r13.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-3addb7f7df89.pyc
cpython-311-3d91baaa2a9f,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:_PyDict_FromItems|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|builtin___build_class__|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject",1,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.640d7708a0f4.STACK.1b2f714199.CODE.1.ADDR.8.INSTR.mov____0x8(%rax),%rax.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-3d91baaa2a9f.pyc
cpython-311-3dea9da3226b,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyObject_GetIter|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file|_PyRun_SimpleFileObject|_PyRun_AnyFileObject|pymain_run_file_obj|pymain_run_file|pymain_run_python|Py_RunMain|pymain_main|Py_BytesMain",3,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.56cff6b22ddb.STACK.1939452581.CODE.1.ADDR.8.INSTR.mov____0x8(%r14),%r15.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-3dea9da3226b.pyc
cpython-311-3e8527f976f6,cpython-311,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|??|??|free|_PyMem_RawFree|PyObject_Free|PyDict_Clear|_PyUnicode_ClearInterned|finalize_interp_types|finalize_interp_clear|Py_FinalizeEx|Py_RunMain|pymain_main|Py_BytesMain",2,"data/rq3/cpython-3.11/fuzz/crashes/SIGABRT.PC.7596d4bb69fc.STACK.f49661632.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-3e8527f976f6.pyc
cpython-311-3fd06f3e7374,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:PyLong_AsLongAndOverflow|_PyLong_AsInt|import_name|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode",3,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.580210f16b3a.STACK.1af420268e.CODE.1.ADDR.26b020c.INSTR.mov____0xa8(%rax),%rbx.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-3fd06f3e7374.pyc
cpython-311-3fd7c2097893,cpython-311,crash,"SIGSEGV, Segmentation fault",gdb-rerun,"SIGSEGV, Segmentation fault:Py_INCREF|Py_XINCREF|PyException_GetContext|_PyErr_SetObject|_PyErr_FormatV|_PyErr_Format|format_exc_check_arg|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|builtin_exec_impl|builtin_exec|cfunction_vectorcall_FASTCALL_KEYWORDS|_PyObject_VectorcallTstate|PyObject_Vectorcall",2,"data/rq3/cpython-3.11/fuzz/crashes/SIGSEGV.PC.5c8a37df859a.STACK.f7e1f6e84.CODE.2.ADDR.5c8a37e579c0.INSTR.addq___$0x1,(%rbx).pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-3fd7c2097893.pyc
cpython-311-4104352150cc,cpython-311,crash,"SIGABRT, Aborted",gdb-rerun,"SIGABRT, Aborted:pthread_kill|??|??|realloc|_PyMem_RawRealloc|PyMem_Realloc|list_resize|list_extend|_PyList_Extend|_PyEval_EvalFrameDefault|_PyEval_EvalFrame|_PyEval_Vector|PyEval_EvalCode|run_eval_code_obj|run_mod|pyrun_file",1,"data/rq3/cpython-3.11/fuzz/crashes/SIGABRT.PC.7de0d94009fc.STACK.efa49e33f.CODE.-6.ADDR.0.INSTR.mov____%eax,%r13d.pyc",data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-4104352150cc.pyc
